mentionId,source,line,timestampStart,timestampEnd,speaker,part,chapter,scene,emotionalTone,narrativeFunction,text,effectId,effectLabel,baseAsset,fallbackAsset,baseW,baseH,baseFps,baseCodec,palette,shaderPreset,shaderParams,particlePreset,particleParams,gpuBudgetMB,syncToleranceMs,centerSafePct
OSR-001,OSIRIS_CINEMATIC_TIMELINE.md,26,0:35,0:39,Tarek,zero-1-1-summons — الاستدعاء (The Summons),,,urgent/ominous,plot_catalyst,الشر ليس عشوائياً يا يحيى. إنه كود برمجي. لقد وجدت الشيفرة المصدرية. افتح أوزيريس.,FX-01-SUMMONS-EYE,Summons / Falcon Eye,generated-assets/video-bg/osiris-vid-bg/Egyptian_falcon_eye_202603301359.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#05060a|#00e5ff|#2a5cff|#d4af37|#ff2d2d,irisGlow+crtSubtle,"{""irisPulseHz"":0.8,""glowIntensity"":0.55,""glowColor"":""#00e5ff"",""vignette"":0.45,""scanlineIntensity"":0.1,""chromaAberration"":0.002,""noise"":0.08}",microDust,"{""count"":80,""sizePx"":[0.8,1.6],""speed"":0.12,""opacity"":[0,0.18]}",128,50,15
OSR-002,OSIRIS_CINEMATIC_TIMELINE.md,38,0:06,0:08,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,neutral,character_development/theme,الملف رقم: واحد.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-003,OSIRIS_CINEMATIC_TIMELINE.md,39,0:08,0:11,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,neutral,character_development/theme,المتهم: الإنسان.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-004,OSIRIS_CINEMATIC_TIMELINE.md,40,0:11,0:13,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,neutral,character_development/theme,المدّعي: أنا.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-005,OSIRIS_CINEMATIC_TIMELINE.md,41,0:13,0:16,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,neutral,character_development/theme,الاتهام: عدم الأهلية للتكريم.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-006,OSIRIS_CINEMATIC_TIMELINE.md,42,0:16,0:19,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,neutral,character_development/theme,الأدلة: ستة آلاف سنة من التاريخ الموثق.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-007,OSIRIS_CINEMATIC_TIMELINE.md,44,0:21,0:27,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,awe/ominous,character_development/theme,أنا المحامي الكوني. أنتم تسمونني بأسماء كثيرة، وتصورونني كوحش بقرون ونار. لكن الحقيقة أبسط من ذلك بكثير يا يحيى. أنا لست,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-008,OSIRIS_CINEMATIC_TIMELINE.md,45,0:27,0:33,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,awe/ominous,character_development/theme,لقد طُلب مني السجود لكائن من طين، فاعترضت. قلت إنه سيفسد فيها ويسفك الدماء. قيل لي: إني أعلم ما لا تعلمون.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-009,OSIRIS_CINEMATIC_TIMELINE.md,46,0:33,0:40,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,neutral,character_development/theme,لذلك، قررت أن أثبت وجهة نظري. لم أستخدم السحر، ولم أجبر أحداً على شيء. لقد صممت خوارزمية بسيطة جداً، سطر واحد من الكود،,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-010,OSIRIS_CINEMATIC_TIMELINE.md,48,0:40,0:49,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,neutral,character_development/theme,هذا السطر البرمجي البسيط هو الشيفرة المصدرية لكل دماء سُفكت على هذه الأرض. من أول حجر هُشم به رأس أخ، إلى آخر قنبلة أُلق,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-011,OSIRIS_CINEMATIC_TIMELINE.md,49,0:49,0:54,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,neutral,character_development/theme,طارق رأى النمط. طارق فهم الخوارزمية. ولهذا السبب... لم يعد طارق هنا.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-012,OSIRIS_CINEMATIC_TIMELINE.md,52,0:56,1:03,OSIRIS,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,neutral,character_development/theme,أنا؟ لم أفعل شيئاً. أتباعي من بني جنسك هم من فعلوا. هل تريد أن ترى كيف تعمل الخوارزمية يا يحيى؟ هل تملك الشجاعة لفتح الم,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-013,OSIRIS_CINEMATIC_TIMELINE.md,81,0:15,0:22,Narrator,one-1-5-2-bitter-truth — الحقيقة المرة (The Bitter Truth),,,neutral,plot_reveal/foreshadowing,"فتح طارق ملفاً سرياً يحمل اسم ""مشروع أوزيريس"". قرأ بصوت مسموع: ""الهدف: الهندسة العصبية. التحكم بأنماط التفكير البشري من",FX-04-NEURAL-ANALYSIS,Neural Analysis / Pattern Match,generated-assets/video-bg/osiris-vid-bg/Neural_network_forms_202603301407.mp4,generated-assets/video-bg/osiris-vid-bg/OSIRIS_falcon_logo_202603301401.mp4,1280,720,24,avc1,#05060a|#6cf0ff|#9b5cff|#00ff9d|#ffffff,neuralPulse+colorShift,"{""pulseHz"":0.9,""pulseIntensity"":0.45,""hueShift"":0.06,""vignette"":0.38,""noise"":0.1}",synapseNodes,"{""count"":220,""linkProb"":0.12,""speed"":0.15,""opacity"":[0.03,0.2]}",128,50,15
OSR-014,OSIRIS_CINEMATIC_TIMELINE.md,95,0:10,0:14,OSIRIS,one-1-5-3-no-escape — لا مفر (No Escape),,,analytical/clinical,character_development/theme,إلى أين تذهب يا طارق؟ نحن نعرف ما تفكر فيه قبل أن تفكر فيه.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-015,OSIRIS_CINEMATIC_TIMELINE.md,138,0:07,0:16,Yahya,two-2-2-osiris-launch — تشغيل أوزيريس (Launching OSIRIS),,,neutral,character_development/theme,أوزيريس. نظام استشعار كمي. هو لا يعيد بناء الماضي من كتب التاريخ. هو يقرأ موجات الكم التي تُركت في الكون. كل حدث، كل جري,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-016,OSIRIS_CINEMATIC_TIMELINE.md,157,0:28,0:32,OSIRIS,three-3-1-creation — لحظة الخلق والرفض (The Moment of Creation and Refusal),,,neutral,character_development/theme,أنا خير منه. خلقتني من نار وخلقته من طين.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-017,OSIRIS_CINEMATIC_TIMELINE.md,171,0:12,0:16,OSIRIS,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,analytical/clinical,character_development/theme,"المحور الأول: الكبر — زرع فكرة ""أنا خير منه"" كقاعدة بيانات أساسية.",FX-04-NEURAL-ANALYSIS,Neural Analysis / Pattern Match,generated-assets/video-bg/osiris-vid-bg/Neural_network_forms_202603301407.mp4,generated-assets/video-bg/osiris-vid-bg/OSIRIS_falcon_logo_202603301401.mp4,1280,720,24,avc1,#05060a|#6cf0ff|#9b5cff|#00ff9d|#ffffff,neuralPulse+colorShift,"{""pulseHz"":0.9,""pulseIntensity"":0.45,""hueShift"":0.06,""vignette"":0.38,""noise"":0.1}",synapseNodes,"{""count"":220,""linkProb"":0.12,""speed"":0.15,""opacity"":[0.03,0.2]}",128,50,15
OSR-018,OSIRIS_CINEMATIC_TIMELINE.md,172,0:16,0:20,OSIRIS,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,analytical/clinical,character_development/theme,المحور الثاني: الشهوة — تحويل الإنسان من كائن ذي غاية (خليفة) إلى مستهلك للمتعة.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-019,OSIRIS_CINEMATIC_TIMELINE.md,173,0:20,0:24,OSIRIS,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,neutral,character_development/theme,المحور الثالث: الكذب — تشويه الحقائق حتى يصبح الباطل منطقياً.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-020,OSIRIS_CINEMATIC_TIMELINE.md,174,0:24,0:28,OSIRIS,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,neutral,character_development/theme,"المحور الرابع: الفرقة — تدمير مفهوم ""نحن"" واستبداله بـ ""أنا ضد الجميع"".",FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-021,OSIRIS_CINEMATIC_TIMELINE.md,175,0:28,0:32,OSIRIS,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,neutral,character_development/theme,المحور الخامس: اليأس — قطع الاتصال بالخالق عبر القنوط.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-022,OSIRIS_CINEMATIC_TIMELINE.md,176,0:32,0:36,OSIRIS,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,neutral,character_development/theme,المحور السادس: الشبهة — التشكيك المستمر في الثوابت.,FX-03-HOLOGRAM-DATA,Hologram Data Stream,generated-assets/video-bg/osiris-vid-bg/Falcon_hologram_data_202603301414.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#02030a|#00e5ff|#00ff9d|#2a5cff|#c8fff4,dataRain+edgeGlow,"{""dataDensity"":0.6,""edgeGlow"":0.35,""gamma"":1.08,""contrast"":1.12,""scanlineIntensity"":0.12}",lineParticles,"{""count"":160,""lengthPx"":[6,18],""speed"":0.22,""opacity"":[0.02,0.18]}",128,50,15
OSR-023,OSIRIS_CINEMATIC_TIMELINE.md,188,0:01,0:08,Narrator,four-4-1-desert — فراغ الصحراء (The Void of the Desert),,,neutral,world_building/theme,صحراء سيناء. القرن الثالث عشر قبل الميلاد. محاكاة أوزيريس. وقف يحيى وليلى وسط المحاكاة، يشاهدان بحر البشر الممتد في الصح,FX-05-HOLOGRAM-ORBIT,Falcon Hologram / Slow Orbit,generated-assets/video-bg/osiris-vid-bg/OSIRIS_falcon_hologram_202603301403.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#000000|#00e5ff|#2a5cff|#00ff9d|#0b132b,hologramFlicker,"{""flickerHz"":0.35,""flickerAmp"":0.18,""bloom"":0.32,""scanlineIntensity"":0.18}",ionMist,"{""count"":90,""sizePx"":[2,8],""speed"":0.05,""opacity"":[0.01,0.12]}",128,50,15
OSR-024,OSIRIS_CINEMATIC_TIMELINE.md,231,0:01,0:05,Narrator,four-5-2-analyst-tears — دموع المحلل (The Tears of the Analyst),,,tragic/somber,world_building/theme,انتهى التسجيل. ساد صمت ثقيل في الغرفة، لم يقطعه سوى طنين خوادم أوزيريس.,FX-08-SOLEMN-DUST,Solemn / Desaturated Dust,generated-assets/video-bg/osiris-vid-bg/Neural_network_forms_202603301407.mp4,generated-assets/video-bg/osiris-vid-bg/Slow_orbit_osiris_falcon_hologram_floating_i.gif,1280,720,24,avc1,#0b0b0d|#8a8a8f|#d4af37|#3b3b43|#ffffff,desaturate+filmGrain+slowZoom,"{""desat"":0.82,""grain"":0.18,""vignette"":0.62,""zoom"":1.06,""zoomSec"":18}",dust,"{""count"":220,""sizePx"":[0.8,2.4],""speed"":0.08,""opacity"":[0.02,0.16]}",128,50,15
